sentID.BTEC	split	BEI	ALEX	AMM	ASW	ALE	CAI	DAM	JER	SAL	MSA	DOH	RAB	TUN	ALG	BAG	BAS	BEN	FES	JED	KHA	MOS	MUS	ARI	SAN	SFX	TRI
0	corpus-6-train	هوي بأخر الصالة . رح جبلك شوي هلأ. إذا بدك شي تاني، بس عطيني خبر.					هو في اخر القاعة . أنا حأجيبلك شويه دلوقتي . لو محتاج حاجة تانية، قولي.				إنها في أخر القاعة . سوف آتي لك ببعض منها الآن . إذا أردت أي شيئاً آخر فقط أعلمني .	موجود في نهاية الممر، بجيب لك شوي الحين. اذا احتجت شي ثاني خبرني.	كاين في اللاخر ديال هاد القاعة. انجيب ليك شويا دابا. و إلا حتاجيتي شي حاجا اخرى، قولها ليا.	موجود في اخر الكولوار. و نجيبهولك توا. كان تستحق حاجة اخرى، قلي.													
2	corpus-6-train	بتعمل تعديلات؟					بتعمل تبديلات؟				هل تقومون بعمل تعديلات ؟	تسوي تعديلات؟	واش كا دير التعديلات؟	تعملوا تبديلات؟													
4	corpus-6-train	بدنا طاولة حد الشباك .					عايزين ترابيزة جنب الشباك .				نريد مائدة بجانب النافذة .	بغينا طاولة يم الدريشة.	بغينا ناخدو طابلة حدا الشرجم.	نحبوا طاولة قريبة مالشباك.													
5	corpus-6-test-corpus-26-train	صار هونيك، بالظبط قدام مكتب استعلامات السياح.	هو هناك، قدام الاستعلامات السياحية على طول.	هيو هناك، بالزبط مقابل مكتب المعلومات السياحية.	هناك، قدام مكتب ارشادات السياح على طول.	هو هنيك، قدام معلومات السياح بالضبط.	ده قدامك هناك، يادوبك قدام مكتب استعلامات السياحة .	موجود هنيك، قدام مكتب معلومات السياح بالزبط.	هناك، قدام مكتب استعلامات السياح بالزبط.	هيو هناك، بالزبط قدام مكتب معلومات السياح .	هناك ، أمام بيانات السائح تماما .	هو ذاك الصوب، بالضبط جدام استعلامات السياح بالضبط.	راه تما، مقابل مكتب استعلامات السياح بالضبط.	اهوكا غادي، بالضبط قدام البيرو متاع الارشادات السياحية.	راهو لهيك، بالضبط قدام المكتب تع معلومات السياح.	موجود هناك، بالضبط مقابيل مكتب المعلومات السياحية.	موجود هناك، بالضبط كدام مكتب معلومات السياح.	قاعد غادي، بالضبط قدام مكتب المعلومات السياحية .	راه تما، بالضبط قبالت مكتب المعلومات ديال السياحة.	شوفه هناك، قدام مكتب المعلومات السياحية بالضبط.	هو هناك، بالظبط أمام مكتب معلومات السياح.	هو هنوك، بالضبط قدام مكتب المعلومات السياحيي.	اهو هناك، بالضبط جدام امام مكتب المعلومات السياحية.	هناك، بالضبط مقابل مكتب معلومات السياح.	هوذاك هاناك، قبال مكتب المعلومات السياحيه بالضبط.	أوكي غادي، قدام مكتب الإرشادات السياحية بالضبط.	اوني غادي، قدام متاع معلومات السواح بالضبط.
9	corpus-6-test-corpus-26-train	بعمري ما سمعت بهالعنوان هون .	عمرى ما سمعت عن العنوان دة هنا.	أنا ما سمعت أبداً عن هاد العنوان في المنطقة هون.	انا عمرى ماسمعت عن العنوان ده هنا.	مالي سمعان من قبل بهالعنوان هون.	عمري ما سمعت عن العنوان ده هنا .	ما سمعت بهيك عنوان هون من قبل.	عمري ما سمعت هدا العنوان هون.	ما عمري سمعت عن هالعنوان هون.	لم اسمع بهذا العنوان من قبل بالقرب من هنا .	ما قط سمعت بهالعنوان في هالمنطقة من قبل.	ما عمري سمعت هاد العنوان هنايا.	عمري ما سمعت بالادريسة هاذي هوني.	جامي سمعت بهاذ العنوان في هاذ الجيهة.	عمري ما سامع بهيج عنوان بهل المنطقة.	ما سامع بهذا العنوان هنا ابد.	ماعمريش سمعت بالعنوان هضا هنا .	ماسبقليش سمعت بهاد العنوان هنا.	ماقد سمعت بدا العنوان هنا.	ما حصل سمعت بالعنوان دا هنا.	ابد ما كن اسمعتو بهذا العنوان هوني.	انا ماسمعت ابد بالهعنوان.	ما قد سمعت بهذا العنوان هنا.	ماقد سمعتش ابدا بهذا العنوان هانا.	أنا منعرفش الادريسة هذه قريبة من هوني.	ماعمريش سمعت بيه العنوان هدا هنايا.
11	corpus-6-test-corpus-26-train	روح دغري لحتى تشوف صيدلية.	امشى على طول لحد ما تشوف صيدلية.	امشي دغري لعند ما تشوف صيدلية.	امشي على طول لغاية متشوف صيدلية.	روح ساوي لبين ما تشوف صيدلية.	أمشي علطول لحد ما تلقي صيدلية.	إمشي مباشرة لحد ما تشوف صيدلية.	خليك ماشي دغري لتلاقي صيدلية.	روح دغري حتى تشوف الصيدلية.	استمر في السير في هذا الطريق حتى تجد صيدلية .	امش سيده لين تشوف صيدلية.	سير نيشان حتا تشوف صيدلية.	امشي طول طول حتى لين تشوف صيدلية.	امشي قبالة حتى تشوف صيدلية.	اطلع كبل لحد ما تشوف الصيدلية.	اطلع كبل لحد ما تشوف صيدلية.	أمشي طول لعند ما تشوف الصيدلية.	سير نيشان حتا تلقى الصيدلية.	امشي سيدا لين ما تلاقي الصيدلية.	أمشي دغري لغاية تشوف صيدلية.	امشي كبل الى ان اتشوف صيدليه.	روح سيده حتى تشوف الصيدلية.	امش على طول لين تلقى صيدلية.	امشي طوالي لوما تبسر صيدليه.	كمل القدام لين تارى الفارمسي.	برا طول لين تشوف صيدلية.
12	corpus-6-train	شو هوي أجد لون لهالموسم؟					ايه اجدد لون في الموسم ده؟				ما هو أحدث لون هذا الموسم .	شنو اللون اللي هابين فيه هالفترة؟	شنو هو اجدد لون هاد الموسم؟	شنوة اجد لون الفصل هذا؟													
14	corpus-6-train	بحالتي، عادة بيكون شغل، وقليل ليكون كرمال الترفيه.					في الحالة بتاعتي، بيبقى عادة شغل، وقليل جدا ترفيه.				في حالتي ، غالباً ما يكون من أجل العمل ونادراً ما يكون للاستمتاع .	في حالتي انا دايماً حق شغل، نادراً حق استانس.	في الحالة ديالي، راه غالبا على الخدمة، قليل للمتعة.	في الحالة متاعي انا، الكثرية للخدمة، و ساعات للتفرهيد.													
15	corpus-6-train	رح إبقى يومين.					هقعد يومين .				سأقيم لمدة يومين .	بقعد يومين.	غادي نبقا يومين.	بش نقعد نهارين.													
16	corpus-6-train	بدي كيرلي ضيق.					انا عايز اعمل كيرلي جامد.				أريد تمويج متقارب بشعري	بغيت كيرلي ضيق.	بغيت بيرمانونت مجهد.	نحب برمانونت قوي.													
